model,imgsz,fps_level,stride,precision,buf_mode,track_buffer,seq,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,mostly_lost,n_gt_tracks,n_strided_frames
yolo26n,576,15,2,trt,scaled,15,MOT17-09,0.6716417910447761,0.6091185410334347,34,1.3076923076923077,0.4230769230769231,3,26,263
yolo26n,576,15,2,trt,scaled,15,MOT17-02,0.20975298126064734,0.3941006537935229,14,0.2692307692307692,0.11538461538461539,36,52,300
yolo26n,576,15,2,trt,scaled,15,MOT17-04,0.16410488245931287,0.23188284518828453,27,0.34177215189873417,0.0379746835443038,59,79,525
yolo26n,576,10,3,fp32,scaled,10,MOT17-09,0.6311146752205292,0.6532999164578112,32,1.2307692307692308,0.5,3,26,175
yolo26n,576,10,3,fp32,scaled,10,MOT17-02,0.28214971209213047,0.3793647217841856,25,0.4807692307692308,0.19230769230769232,32,52,200
yolo26n,576,10,3,fp32,scaled,10,MOT17-04,0.19451352777149744,0.2948702327281589,26,0.3291139240506329,0.06329113924050633,56,79,350
yolo26n,576,10,3,int8,scaled,10,MOT17-09,0.5854049719326384,0.6498789346246974,32,1.2307692307692308,0.34615384615384615,6,26,175
yolo26n,576,10,3,int8,scaled,10,MOT17-02,0.23224568138195778,0.32374814080317305,14,0.2692307692307692,0.07692307692307693,39,52,200
yolo26n,576,10,3,int8,scaled,10,MOT17-04,0.11003089908810004,0.16036670431143293,24,0.3037974683544304,0.012658227848101266,65,79,350
yolo26n,576,10,3,trt,scaled,10,MOT17-09,0.6439454691259021,0.6703550023052097,35,1.3461538461538463,0.34615384615384615,3,26,175
yolo26n,576,10,3,trt,scaled,10,MOT17-02,0.20537428023032633,0.37404756407296236,15,0.28846153846153844,0.1346153846153846,38,52,200
yolo26n,576,10,3,trt,scaled,10,MOT17-04,0.16097671263848068,0.23227676602180353,20,0.25316455696202533,0.0379746835443038,60,79,350
yolo26n,576,7,4,fp32,scaled,8,MOT17-09,0.5944798301486199,0.6019090398652442,39,1.5,0.4230769230769231,3,26,132
yolo26n,576,7,4,fp32,scaled,8,MOT17-02,0.272572402044293,0.44065733414485697,20,0.38461538461538464,0.17307692307692307,32,52,150
yolo26n,576,7,4,fp32,scaled,8,MOT17-04,0.1914360208584035,0.2779589175089664,25,0.31645569620253167,0.06329113924050633,58,79,263
yolo26n,576,7,4,int8,scaled,8,MOT17-09,0.5509554140127388,0.6243455497382199,33,1.2692307692307692,0.2692307692307692,6,26,132
yolo26n,576,7,4,int8,scaled,8,MOT17-02,0.23551959114139698,0.3712574850299401,7,0.1346153846153846,0.07692307692307693,40,52,150
yolo26n,576,7,4,int8,scaled,8,MOT17-04,0.10469314079422387,0.15578424414478353,24,0.3037974683544304,0.012658227848101266,64,79,263
yolo26n,576,7,4,trt,scaled,8,MOT17-09,0.6263269639065818,0.6514215080346106,30,1.1538461538461537,0.3076923076923077,3,26,132
yolo26n,576,7,4,trt,scaled,8,MOT17-02,0.19548551959114135,0.3750386160024714,12,0.23076923076923078,0.11538461538461539,37,52,150
yolo26n,576,7,4,trt,scaled,8,MOT17-04,0.15573606097071802,0.22928432942763213,22,0.27848101265822783,0.012658227848101266,61,79,263
yolo26n,576,5,6,fp32,scaled,5,MOT17-09,0.5135566188197767,0.5808695652173913,55,2.1153846153846154,0.3076923076923077,4,26,88
yolo26n,576,5,6,fp32,scaled,5,MOT17-02,0.2648752399232246,0.40947075208913647,23,0.4423076923076923,0.19230769230769232,34,52,100
yolo26n,576,5,6,fp32,scaled,5,MOT17-04,0.1800361881785284,0.2592914853946551,21,0.26582278481012656,0.0379746835443038,58,79,175
yolo26n,576,5,6,int8,scaled,5,MOT17-09,0.5023923444976077,0.5722952477249748,25,0.9615384615384616,0.23076923076923078,8,26,88
yolo26n,576,5,6,int8,scaled,5,MOT17-02,0.21944977607165705,0.34027425088877605,11,0.21153846153846154,0.07692307692307693,40,52,100
yolo26n,576,5,6,int8,scaled,5,MOT17-04,0.09966827503015685,0.1549636803874092,21,0.26582278481012656,0.0,65,79,175
yolo26n,576,5,6,trt,scaled,5,MOT17-09,0.5502392344497608,0.6146435452793835,32,1.2307692307692308,0.3076923076923077,6,26,88
yolo26n,576,5,6,trt,scaled,5,MOT17-02,0.19193857965451055,0.35933806146572106,12,0.23076923076923078,0.09615384615384616,39,52,100
yolo26n,576,5,6,trt,scaled,5,MOT17-04,0.14791917973462,0.20659677831756584,23,0.2911392405063291,0.012658227848101266,61,79,175
yolo26n,576,3,10,fp32,scaled,5,MOT17-09,0.352,0.44654088050314467,53,2.12,0.28,4,25,53
yolo26n,576,3,10,fp32,scaled,5,MOT17-02,0.2186495176848875,0.3088116410670978,10,0.19607843137254902,0.09803921568627451,34,51,60
yolo26n,576,3,10,fp32,scaled,5,MOT17-04,0.16272635814889336,0.24647145565620393,16,0.20253164556962025,0.0379746835443038,60,79,105
yolo26n,576,3,10,int8,scaled,5,MOT17-09,0.352,0.4744525547445255,27,1.08,0.2,9,25,53
yolo26n,576,3,10,int8,scaled,5,MOT17-02,0.20150053590568062,0.31560283687943264,3,0.058823529411764705,0.0784313725490196,42,51,60
yolo26n,576,3,10,int8,scaled,5,MOT17-04,0.08501006036217307,0.14027872972355496,13,0.16455696202531644,0.0,66,79,105
yolo26n,576,3,10,trt,scaled,5,MOT17-09,0.4026666666666666,0.46258503401360546,44,1.76,0.24,4,25,53
yolo26n,576,3,10,trt,scaled,5,MOT17-02,0.15541264737406213,0.26058631921824105,8,0.1568627450980392,0.0784313725490196,40,51,60
yolo26n,576,3,10,trt,scaled,5,MOT17-04,0.13028169014084512,0.18730986527596696,22,0.27848101265822783,0.0,63,79,105
yolo26n,576,2,15,fp32,scaled,5,MOT17-09,0.2326530612244898,0.32323232323232326,56,2.24,0.2,6,25,35
yolo26n,576,2,15,fp32,scaled,5,MOT17-02,0.17571884984025554,0.22556390977443608,24,0.48,0.08,37,50,40
yolo26n,576,2,15,fp32,scaled,5,MOT17-04,0.14231785579463951,0.22509702457956016,20,0.25316455696202533,0.012658227848101266,60,79,70
yolo26n,576,2,15,fp32,fixed,30,MOT17-09,0.22448979591836737,0.29901960784313725,68,2.72,0.32,6,25,35
yolo26n,576,2,15,fp32,fixed,30,MOT17-02,0.15335463258785942,0.21104294478527608,43,0.86,0.06,34,50,40
yolo26n,576,2,15,fp32,fixed,30,MOT17-04,0.1457153642884107,0.24234611666129552,20,0.25316455696202533,0.02531645569620253,60,79,70
yolo26n,576,2,15,int8,scaled,5,MOT17-09,0.25306122448979596,0.3313953488372093,29,1.16,0.12,12,25,35
yolo26n,576,2,15,int8,scaled,5,MOT17-02,0.1613418530351438,0.18691588785046728,14,0.28,0.08,42,50,40
