model,imgsz,fps_level,stride,mt_fp32,mt_int8,idsw_fp32,idsw_int8,mt_fp32_ref,mt_int8_ref,idsw_fp32_ref,idsw_int8_ref,effect_b_mt,effect_b_idsw,effect_c_mt,effect_c_idsw,effect_d_mt,effect_d_idsw
yolo26s,576,2,15,0.09740259740259741,0.07792207792207792,0.7142857142857143,0.38961038961038963,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.16842018740752915,0.08770343580470163,0.0822784810126582,-0.2911392405063291,0.10562222587539044,0.054167351635706074
yolo26s,576,1,30,0.08666666666666667,0.05333333333333334,0.56,0.38666666666666666,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.17915611814345989,-0.06658227848101261,0.0822784810126582,-0.2911392405063291,0.13021097046413502,0.0512236286919831
yolo26m,640,30,1,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.0,0.0,0.0632911392405063,-0.15189873417721517,0.0,0.0
yolo26m,640,15,2,0.27388535031847133,0.18471337579617833,0.445859872611465,0.21019108280254778,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,-0.008062565508344777,0.009151011851971314,0.0632911392405063,-0.15189873417721517,0.01781826977344192,-0.07461904377973072
yolo26m,640,10,3,0.267515923566879,0.17197452229299362,0.445859872611465,0.25477707006369427,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,-0.0016931387567524214,0.009151011851971314,0.0632911392405063,-0.15189873417721517,0.03055712327662663,-0.030033056518584234
yolo26m,640,7,4,0.267515923566879,0.17197452229299362,0.4840764331210191,0.2611464968152866,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,-0.0016931387567524214,0.047367572361525445,0.0632911392405063,-0.15189873417721517,0.03055712327662663,-0.023663629766991878
yolo26m,640,5,6,0.21656050955414013,0.1337579617834395,0.5859872611464968,0.42038216560509556,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.04926227525598642,0.14927840038700313,0.0632911392405063,-0.15189873417721517,0.06877368378618076,0.13557203902281706
yolo26m,640,3,10,0.14193548387096774,0.09032258064516129,0.7483870967741936,0.45806451612903226,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.12388730093915881,0.3116782360146999,0.0632911392405063,-0.15189873417721517,0.11220906492445896,0.17325438954675376
yolo26m,640,2,15,0.11688311688311688,0.07142857142857142,0.8311688311688312,0.487012987012987,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.1489396679270097,0.39445997040933756,0.0632911392405063,-0.15189873417721517,0.13110307414104883,0.2022028604307085
yolo26m,640,1,30,0.07333333333333333,0.04666666666666667,0.5933333333333334,0.3466666666666667,0.26582278481012656,0.20253164556962025,0.43670886075949367,0.2848101265822785,0.19248945147679322,0.1566244725738397,0.0632911392405063,-0.15189873417721517,0.1558649789029536,0.06185654008438818
yolo26m,576,30,1,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.0,0.0,0.10126582278481011,-0.26582278481012656,0.0,0.0
yolo26m,576,15,2,0.25477707006369427,0.1592356687898089,0.445859872611465,0.25477707006369427,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.011045714746432289,-0.04148189954043374,0.10126582278481011,-0.26582278481012656,0.005321293235507535,0.03325808272192213
yolo26m,576,10,3,0.25477707006369427,0.15286624203821655,0.4840764331210191,0.267515923566879,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.011045714746432289,-0.0032653390308796104,0.10126582278481011,-0.26582278481012656,0.01169071998709989,0.04599693622510684
yolo26m,576,7,4,0.25477707006369427,0.1464968152866242,0.5286624203821656,0.2929936305732484,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.011045714746432289,0.041320648230266876,0.10126582278481011,-0.26582278481012656,0.018060146738692245,0.07147464323147626
yolo26m,576,5,6,0.2229299363057325,0.11464968152866242,0.7133757961783439,0.42038216560509556,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.042892848504394065,0.22603402402644518,0.10126582278481011,-0.26582278481012656,0.04990728049665402,0.19886317826332342
yolo26m,576,3,10,0.14838709677419354,0.08387096774193549,0.6838709677419355,0.47096774193548385,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.11743568803593302,0.19652919559003673,0.10126582278481011,-0.26582278481012656,0.08068599428338095,0.2494487545937117
yolo26m,576,2,15,0.12337662337662338,0.06493506493506493,0.8376623376623377,0.487012987012987,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.1424461614335032,0.35032056551043894,0.10126582278481011,-0.26582278481012656,0.09962189709025152,0.2654939996712149
yolo26m,576,1,30,0.06666666666666667,0.04,0.5066666666666667,0.2733333333333333,0.26582278481012656,0.16455696202531644,0.4873417721518987,0.22151898734177214,0.1991561181434599,0.019324894514767987,0.10126582278481011,-0.26582278481012656,0.12455696202531644,0.05181434599156118
