model,imgsz,seq,fps,median_ms,p95_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26x.pt,576,MOT17-09,82.0,12.2,12.48,1015.3,8.5,0.63,0.635,32,1.231,0.769,0.0
yolo26x.pt,576,MOT17-02,81.0,12.34,12.69,1015.2,10.6,0.399,0.568,44,0.83,0.264,0.094
yolo26x.pt,576,MOT17-04,81.2,12.32,12.71,1015.2,11.5,0.257,0.397,34,0.43,0.089,0.063
yolo26x.pt,512,MOT17-09,99.5,10.05,10.32,1016.3,8.3,0.655,0.616,35,1.346,0.769,0.0
yolo26x.pt,512,MOT17-02,98.5,10.15,10.41,1015.4,9.5,0.362,0.512,41,0.774,0.264,0.132
yolo26x.pt,512,MOT17-04,98.6,10.14,10.62,1015.0,10.9,0.236,0.377,26,0.329,0.089,0.038
yolo26x.pt,448,MOT17-09,114.3,8.75,8.97,1015.1,8.3,0.623,0.667,22,0.846,0.769,0.115
yolo26x.pt,448,MOT17-02,114.0,8.77,8.96,1015.3,8.5,0.347,0.485,42,0.792,0.245,0.17
yolo26x.pt,448,MOT17-04,114.1,8.77,9.01,1016.5,10.2,0.229,0.367,18,0.228,0.076,0.051
yolo26x.pt,384,MOT17-09,132.7,7.54,7.73,1015.2,8.2,0.636,0.642,28,1.077,0.808,0.0
yolo26x.pt,384,MOT17-02,133.0,7.52,7.77,1015.1,7.3,0.325,0.473,29,0.547,0.245,0.057
yolo26x.pt,384,MOT17-04,132.2,7.57,7.88,1015.3,9.6,0.212,0.328,12,0.152,0.076,0.0
yolo26x.pt,320,MOT17-09,152.4,6.56,6.76,1015.5,7.2,0.715,0.66,28,1.077,0.769,0.038
yolo26x.pt,320,MOT17-02,149.8,6.67,7.29,1015.3,7.0,0.312,0.46,27,0.509,0.245,0.038
yolo26x.pt,320,MOT17-04,151.7,6.59,6.78,1016.5,8.4,0.187,0.267,17,0.215,0.089,0.038
